time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 973, 9.759507, 4, 31, 8, 9, 11
5, 963, 9.893043, 4, 27, 8, 9, 11
10, 870, 10.998851, 5, 23, 8, 11, 13
15, 934, 10.200214, 5, 29, 7, 9, 13
20, 1072, 8.826493, 4, 34, 7, 8, 10
25, 1068, 8.838015, 4, 29, 7, 9, 10
30, 986, 9.626775, 5, 19, 8, 9, 11
35, 1018, 9.328094, 5, 29, 7, 9, 11
40, 961, 9.894901, 6, 24, 8, 10, 11
45, 966, 9.845756, 5, 29, 8, 9, 11
50, 1038, 9.143545, 5, 20, 7, 9, 10
55, 875, 10.899429, 5, 27, 8, 10, 13
60, 2, 8.500000, 7, 10, 7, 8, 10
