time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 891, 1.687991, 1, 5, 1, 2, 2
1, 915, 1.618579, 1, 4, 1, 2, 2
2, 898, 1.674833, 1, 3, 1, 2, 2
3, 891, 1.682379, 1, 4, 1, 2, 2
4, 909, 1.647965, 1, 4, 1, 2, 2
5, 867, 1.756632, 1, 5, 1, 2, 2
6, 744, 2.170699, 1, 4, 2, 2, 3
7, 813, 1.923739, 1, 4, 2, 2, 2
8, 822, 1.920925, 1, 4, 2, 2, 2
9, 839, 1.868892, 1, 5, 2, 2, 2
10, 775, 2.068387, 1, 4, 2, 2, 2
11, 770, 2.087013, 1, 5, 2, 2, 2
12, 760, 2.110526, 1, 4, 2, 2, 2
13, 727, 2.243466, 1, 16, 2, 2, 3
14, 798, 1.971178, 1, 4, 2, 2, 2
15, 782, 2.031969, 1, 4, 2, 2, 2
16, 859, 1.779977, 1, 4, 1, 2, 2
17, 856, 1.790888, 1, 4, 1, 2, 2
18, 874, 1.729977, 1, 4, 1, 2, 2
19, 911, 1.630077, 1, 4, 1, 2, 2
20, 903, 1.656700, 1, 4, 1, 2, 2
21, 910, 1.624176, 1, 4, 1, 2, 2
22, 886, 1.713318, 1, 5, 1, 2, 2
23, 870, 1.739080, 1, 4, 1, 2, 2
24, 918, 1.624183, 1, 4, 1, 2, 2
25, 908, 1.651982, 1, 3, 1, 2, 2
26, 917, 1.624864, 1, 3, 1, 2, 2
27, 905, 1.632044, 1, 4, 1, 2, 2
28, 853, 1.796014, 1, 4, 1, 2, 2
29, 914, 1.632385, 1, 4, 1, 2, 2
30, 868, 1.751152, 1, 35, 1, 2, 2
31, 883, 1.729332, 1, 10, 1, 2, 2
32, 893, 1.695409, 1, 4, 1, 2, 2
33, 880, 1.737500, 1, 4, 1, 2, 2
34, 913, 1.612267, 1, 4, 1, 2, 2
35, 882, 1.733560, 1, 5, 1, 2, 2
36, 903, 1.671096, 1, 4, 1, 2, 2
37, 888, 1.701577, 1, 4, 1, 2, 2
38, 871, 1.723307, 1, 4, 1, 2, 2
39, 916, 1.608079, 1, 3, 1, 2, 2
40, 909, 1.644664, 1, 4, 1, 2, 2
41, 905, 1.658564, 1, 4, 1, 2, 2
42, 903, 1.683278, 1, 4, 1, 2, 2
43, 882, 1.705215, 1, 3, 1, 2, 2
44, 911, 1.643249, 1, 5, 1, 2, 2
45, 893, 1.709966, 1, 4, 1, 2, 2
46, 909, 1.666667, 1, 4, 1, 2, 2
47, 786, 2.071247, 1, 5, 2, 2, 2
48, 869, 1.743383, 1, 4, 1, 2, 2
49, 898, 1.693764, 1, 4, 1, 2, 2
50, 914, 1.648796, 1, 4, 1, 2, 2
51, 907, 1.625138, 1, 4, 1, 2, 2
52, 906, 1.651214, 1, 4, 1, 2, 2
53, 862, 1.796984, 1, 4, 1, 2, 2
54, 902, 1.651885, 1, 3, 1, 2, 2
55, 915, 1.630601, 1, 4, 1, 2, 2
56, 910, 1.628571, 1, 4, 1, 2, 2
57, 890, 1.711236, 1, 4, 1, 2, 2
58, 868, 1.758065, 1, 4, 1, 2, 2
59, 910, 1.668132, 1, 4, 1, 2, 2
60, 2, 2.000000, 2, 2, 2, 2, 2
