time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 52, 38.403846, 10, 89, 22, 35, 50
1, 54, 36.925926, 7, 71, 29, 35, 49
2, 58, 32.396552, 7, 67, 26, 32, 39
3, 53, 38.037736, 5, 81, 25, 35, 53
4, 57, 34.877193, 7, 85, 10, 38, 49
5, 50, 39.080000, 6, 108, 29, 37, 53
6, 55, 36.272727, 8, 68, 29, 37, 47
7, 49, 39.632653, 8, 105, 22, 40, 47
8, 61, 32.016393, 6, 76, 20, 34, 41
9, 58, 34.896552, 8, 70, 18, 37, 48
10, 54, 36.462963, 9, 95, 27, 36, 41
11, 56, 34.857143, 7, 87, 12, 36, 47
12, 66, 28.848485, 4, 89, 9, 29, 42
13, 63, 31.841270, 7, 87, 11, 31, 43
14, 59, 33.457627, 5, 90, 12, 32, 47
15, 61, 32.442623, 8, 79, 11, 34, 45
16, 50, 39.500000, 10, 88, 26, 38, 52
17, 73, 26.739726, 6, 64, 11, 29, 37
18, 54, 36.277778, 7, 88, 18, 36, 51
19, 69, 28.942029, 4, 99, 10, 26, 41
20, 53, 36.358491, 6, 121, 24, 29, 48
21, 66, 30.272727, 6, 81, 12, 32, 40
22, 61, 31.573770, 8, 70, 11, 29, 42
23, 55, 36.418182, 7, 74, 24, 37, 50
24, 71, 27.352113, 5, 98, 10, 25, 39
25, 48, 40.958333, 9, 93, 26, 38, 54
26, 53, 36.962264, 7, 75, 27, 37, 45
27, 54, 37.240741, 7, 109, 22, 33, 52
28, 63, 30.857143, 6, 106, 11, 25, 45
29, 61, 32.655738, 6, 91, 16, 34, 45
30, 42, 46.738095, 7, 357, 19, 29, 44
31, 70, 27.871429, 5, 82, 9, 27, 38
32, 63, 30.603175, 5, 64, 12, 31, 43
33, 57, 34.631579, 6, 81, 17, 31, 48
34, 69, 29.405797, 6, 91, 10, 27, 40
35, 70, 28.242857, 6, 83, 10, 27, 38
36, 64, 29.796875, 7, 78, 21, 29, 36
37, 70, 28.457143, 5, 81, 11, 25, 38
38, 71, 27.267606, 5, 77, 16, 25, 35
39, 80, 24.175000, 5, 73, 10, 23, 31
40, 60, 33.750000, 5, 74, 21, 34, 43
41, 70, 28.142857, 5, 107, 9, 26, 41
42, 45, 43.177778, 6, 113, 24, 41, 62
43, 53, 36.566038, 7, 117, 24, 34, 45
44, 61, 32.655738, 6, 82, 18, 32, 45
45, 58, 33.620690, 7, 89, 13, 35, 47
46, 62, 32.516129, 6, 78, 13, 30, 45
47, 53, 36.735849, 7, 68, 30, 36, 47
48, 58, 33.568966, 6, 73, 22, 31, 44
49, 58, 34.189655, 7, 70, 21, 34, 46
50, 52, 37.019231, 7, 86, 23, 37, 45
51, 73, 28.287671, 6, 78, 11, 27, 40
52, 56, 34.660714, 4, 109, 22, 33, 45
53, 64, 30.687500, 7, 86, 12, 27, 41
54, 55, 36.400000, 7, 87, 23, 33, 47
55, 51, 38.745098, 8, 84, 30, 36, 49
56, 49, 38.714286, 9, 131, 22, 31, 45
57, 50, 39.700000, 6, 88, 19, 42, 57
58, 54, 36.166667, 7, 111, 14, 34, 47
59, 49, 41.020408, 7, 93, 29, 40, 54
