time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 128, 15.046875, 2, 45, 5, 14, 22
1, 159, 11.918239, 1, 46, 4, 11, 15
2, 112, 17.544643, 2, 61, 10, 16, 24
3, 125, 15.184000, 2, 61, 5, 14, 20
4, 116, 16.948276, 2, 69, 10, 15, 22
5, 105, 18.238095, 2, 54, 10, 15, 23
6, 127, 15.078740, 2, 44, 7, 15, 20
7, 125, 15.520000, 2, 52, 5, 14, 21
8, 115, 16.600000, 1, 86, 9, 15, 21
9, 106, 18.716981, 2, 52, 11, 16, 27
10, 114, 17.096491, 2, 52, 10, 16, 24
11, 134, 14.350746, 1, 45, 8, 13, 19
12, 116, 16.767241, 2, 52, 6, 15, 24
13, 129, 14.875969, 1, 46, 5, 14, 19
14, 121, 15.991736, 2, 59, 7, 14, 22
15, 121, 16.123967, 2, 47, 5, 15, 24
16, 118, 16.008475, 2, 59, 8, 16, 23
17, 130, 14.923077, 2, 46, 5, 13, 20
18, 114, 17.324561, 1, 54, 6, 16, 25
19, 128, 15.085938, 2, 51, 9, 13, 20
20, 111, 17.324324, 1, 86, 7, 14, 24
21, 122, 15.754098, 2, 44, 9, 15, 23
22, 111, 17.486486, 1, 48, 10, 17, 23
23, 122, 16.073770, 2, 48, 5, 15, 23
24, 125, 15.416000, 2, 55, 5, 15, 22
25, 130, 14.923077, 2, 49, 5, 13, 19
26, 122, 15.467213, 2, 53, 9, 15, 20
27, 134, 14.656716, 2, 53, 5, 13, 20
28, 123, 15.682927, 2, 49, 8, 14, 21
29, 126, 15.341270, 1, 44, 5, 14, 21
30, 117, 16.179487, 2, 39, 8, 16, 21
31, 127, 15.464567, 2, 49, 6, 15, 21
32, 110, 17.554545, 2, 73, 8, 15, 24
33, 119, 16.579832, 1, 53, 6, 15, 24
34, 116, 16.543103, 2, 87, 10, 15, 22
35, 135, 14.148148, 2, 45, 5, 13, 20
36, 106, 18.613208, 2, 53, 12, 17, 24
37, 122, 15.442623, 2, 50, 7, 15, 19
38, 113, 17.592920, 2, 55, 7, 16, 24
39, 130, 14.884615, 2, 48, 8, 14, 20
40, 104, 18.576923, 2, 48, 12, 17, 24
41, 118, 16.415254, 2, 68, 6, 13, 21
42, 124, 15.467742, 2, 50, 9, 15, 19
43, 120, 16.325000, 2, 52, 6, 15, 21
44, 120, 16.083333, 1, 64, 6, 13, 22
45, 108, 17.861111, 2, 48, 11, 15, 24
46, 111, 17.441441, 2, 56, 8, 16, 24
47, 139, 13.985612, 1, 44, 6, 12, 20
48, 124, 15.604839, 1, 61, 6, 12, 22
49, 120, 16.133333, 2, 48, 8, 14, 22
50, 124, 15.548387, 2, 52, 7, 15, 20
51, 108, 18.111111, 2, 56, 11, 17, 24
52, 132, 14.492424, 2, 50, 5, 12, 19
53, 119, 16.327731, 2, 49, 8, 14, 22
54, 124, 15.741935, 2, 48, 6, 15, 22
55, 111, 17.252252, 2, 70, 10, 17, 24
56, 121, 16.082645, 2, 63, 5, 15, 22
57, 116, 16.603448, 2, 51, 9, 16, 24
58, 126, 15.230159, 2, 63, 5, 13, 19
59, 122, 16.122951, 2, 57, 11, 15, 20
