time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 7, 21.571429, 3, 29, 20, 23, 27
1, 9, 18.333333, 2, 26, 11, 22, 24
2, 5, 8.000000, 2, 23, 2, 3, 16
3, 6, 37.833333, 2, 169, 2, 14, 26
4, 7, 23.285714, 17, 26, 21, 25, 25
5, 7, 8.571429, 1, 25, 1, 3, 21
6, 4, 9.750000, 1, 32, 1, 3, 18
7, 10, 19.700000, 2, 34, 18, 20, 26
8, 7, 18.000000, 1, 34, 4, 23, 33
9, 8, 19.750000, 2, 32, 9, 24, 28
10, 10, 19.400000, 1, 35, 16, 21, 26
11, 8, 17.750000, 1, 48, 2, 21, 23
12, 8, 15.250000, 2, 31, 3, 17, 24
13, 6, 20.333333, 2, 35, 18, 21, 25
14, 5, 20.000000, 3, 29, 11, 21, 28
15, 9, 21.888889, 2, 35, 12, 27, 29
16, 6, 19.166667, 2, 30, 5, 25, 27
17, 5, 15.200000, 1, 44, 2, 4, 34
18, 7, 17.000000, 3, 29, 4, 21, 22
19, 8, 20.125000, 1, 28, 19, 20, 27
20, 6, 19.000000, 3, 29, 15, 21, 25
21, 4, 14.000000, 4, 26, 4, 13, 24
22, 9, 21.111111, 2, 35, 17, 21, 28
23, 5, 19.000000, 1, 29, 10, 21, 26
24, 6, 17.166667, 1, 23, 17, 20, 22
25, 4, 7.250000, 2, 20, 2, 3, 12
26, 5, 24.400000, 18, 30, 18, 25, 30
27, 6, 21.333333, 3, 33, 21, 22, 27
28, 3, 69.666667, 4, 171, 4, 34, 171
29, 5, 17.600000, 1, 33, 1, 23, 31
30, 5, 15.800000, 1, 27, 2, 21, 26
31, 6, 13.166667, 3, 29, 4, 11, 20
32, 4, 19.750000, 3, 36, 10, 20, 29
33, 6, 8.333333, 2, 20, 2, 3, 19
34, 6, 19.333333, 1, 36, 15, 21, 22
35, 5, 22.600000, 2, 30, 14, 26, 29
36, 6, 28.833333, 22, 41, 22, 26, 35
37, 4, 24.750000, 2, 37, 15, 30, 34
38, 6, 18.500000, 2, 34, 4, 19, 32
39, 3, 15.666667, 1, 29, 1, 17, 29
40, 3, 1.333333, 1, 2, 1, 1, 2
41, 8, 19.250000, 2, 30, 9, 24, 27
42, 3, 1.666667, 1, 2, 1, 2, 2
43, 6, 17.333333, 3, 27, 14, 18, 23
44, 5, 13.600000, 1, 28, 2, 16, 24
45, 6, 31.000000, 1, 122, 2, 17, 27
46, 3, 21.666667, 6, 32, 6, 27, 32
47, 4, 25.500000, 22, 29, 22, 25, 28
48, 6, 21.666667, 1, 33, 19, 23, 30
49, 5, 17.400000, 1, 42, 1, 20, 32
50, 4, 27.000000, 2, 56, 13, 25, 40
51, 6, 18.666667, 3, 27, 19, 19, 24
52, 4, 14.500000, 3, 29, 3, 13, 26
53, 5, 15.600000, 1, 28, 1, 22, 26
54, 6, 19.000000, 1, 27, 18, 21, 25
55, 5, 24.800000, 3, 33, 15, 30, 32
56, 6, 18.000000, 1, 29, 4, 24, 25
57, 6, 25.000000, 16, 35, 21, 25, 28
58, 6, 19.833333, 4, 29, 14, 22, 28
59, 5, 17.200000, 3, 39, 3, 19, 30
