time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6, 8.500000, 5, 17, 6, 6, 10
1, 8, 6.375000, 3, 8, 5, 7, 7
2, 7, 4.857143, 3, 6, 4, 5, 6
3, 4, 4.500000, 4, 5, 4, 4, 5
4, 7, 5.142857, 4, 6, 4, 5, 6
5, 7, 5.000000, 3, 7, 4, 5, 6
6, 6, 5.500000, 3, 8, 5, 5, 6
7, 8, 7.250000, 2, 19, 4, 6, 8
8, 7, 5.428571, 4, 6, 4, 6, 6
9, 6, 5.166667, 4, 8, 4, 5, 5
10, 7, 5.000000, 4, 9, 4, 4, 6
11, 7, 6.857143, 4, 10, 5, 6, 10
12, 11, 5.090909, 4, 6, 5, 5, 5
13, 9, 6.444444, 4, 18, 4, 5, 7
14, 9, 6.000000, 3, 9, 5, 5, 7
15, 8, 6.625000, 5, 12, 5, 6, 7
16, 9, 5.777778, 4, 8, 5, 6, 6
17, 10, 4.800000, 4, 7, 4, 4, 5
18, 8, 5.250000, 4, 6, 5, 5, 6
19, 9, 6.111111, 3, 16, 4, 5, 6
20, 6, 6.333333, 4, 9, 5, 6, 8
21, 8, 5.125000, 4, 6, 4, 5, 6
22, 8, 5.375000, 4, 8, 4, 5, 6
23, 8, 5.500000, 4, 7, 4, 5, 6
24, 8, 4.875000, 4, 7, 4, 5, 5
25, 10, 6.500000, 4, 18, 5, 5, 6
26, 8, 5.125000, 4, 8, 4, 4, 6
27, 12, 5.583333, 2, 10, 4, 5, 7
28, 11, 4.818182, 4, 6, 4, 5, 5
29, 9, 6.111111, 4, 17, 4, 5, 5
30, 14, 4.785714, 3, 9, 4, 4, 5
31, 7, 4.571429, 4, 6, 4, 4, 5
32, 8, 5.250000, 4, 9, 4, 5, 5
33, 7, 5.142857, 4, 7, 4, 5, 6
34, 7, 5.285714, 4, 8, 4, 5, 6
35, 14, 6.357143, 4, 18, 4, 4, 6
36, 8, 5.625000, 4, 7, 5, 5, 7
37, 11, 4.636364, 4, 6, 4, 4, 5
38, 8, 5.375000, 4, 8, 4, 5, 6
39, 11, 4.727273, 3, 6, 4, 5, 6
40, 7, 6.857143, 4, 17, 4, 5, 8
41, 10, 4.800000, 4, 8, 4, 4, 5
42, 9, 4.777778, 3, 8, 4, 4, 5
43, 7, 5.000000, 4, 6, 4, 5, 6
44, 10, 5.300000, 4, 6, 5, 5, 6
45, 8, 6.625000, 4, 18, 4, 5, 6
46, 8, 5.375000, 4, 8, 5, 5, 5
47, 11, 5.545455, 2, 12, 5, 5, 6
48, 7, 5.714286, 4, 8, 5, 5, 7
49, 8, 6.375000, 4, 13, 4, 5, 7
50, 8, 5.500000, 4, 8, 4, 5, 6
51, 10, 16.800000, 4, 111, 4, 5, 8
52, 8, 5.375000, 4, 7, 4, 5, 6
53, 10, 4.900000, 4, 7, 4, 5, 5
54, 7, 6.285714, 4, 9, 5, 6, 8
55, 10, 5.200000, 4, 8, 5, 5, 5
56, 8, 6.625000, 4, 19, 4, 5, 6
57, 6, 6.000000, 5, 8, 5, 5, 7
58, 6, 4.833333, 4, 6, 4, 4, 6
59, 11, 5.090909, 4, 7, 4, 5, 6
